Project ID,Provider,Receiver,Transaction type,Finance type,Value,Currency,Transaction date,Transaction date narrative,Description,Sector
IG616,Irish Aid,Concern Worldwide,Incoming Funds,100,150000,EUR,2015-08-05,,IA allocates the ERFS to us at the start of the year and as needs occur they approve disbursement.,
IG616,Concern Worldwide,NEWAH,Expenditure,,6000,EUR,2015-08-05,,,
IG616,Concern Worldwide,RRN,Expenditure,,66000,EUR,2015-08-05,,,
IG616,Concern Worldwide,RRN,Expenditure,,78000,EUR,2015-08-05,,,
