Project ID,Provider,Receiver,Transaction type,Finance type,Value,Currency,Transaction date,Description,Sector
5134,Irish Aid,World Vision Ireland,Incoming funds,100,79500,EUR,2015-04-29,,
5134,Irish Aid,World Vision Ireland,Expenditure,100,79500,EUR,2015-05-05,,
